folio,ronda,en_encuesta,en_evaluaciones,en_cuestionario_nino,sexo,edad_anios,edad_meses_eval,region,comuna,area,fexp_transversal_enc,fexp_transversal_eval
101411,2010,1,1,,2.0,3.0,37.0,15.0,,1.0,52.96609878540039,57.8703727722168
101411,2012,1,0,,2.0,5.0,,15.0,,1.0,65.68546295166016,
101411,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,85.87325576843189,85.87325576843189
101421,2010,1,1,,2.0,2.0,35.0,15.0,,1.0,52.96609878540039,57.8703727722168
101421,2012,1,1,,2.0,5.0,63.0,15.0,,1.0,75.83673095703125,78.125
101421,2017,1,1,1.0,2.0,10.0,128.0,15.0,15101.0,,73.0,75.0
101421,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,78.79194222275792,78.79194222275792
101451,2010,1,1,,1.0,2.0,35.0,15.0,,1.0,52.96609878540039,57.8703727722168
101451,2012,1,1,,1.0,5.0,62.0,15.0,,1.0,66.11632537841797,78.125
101451,2017,1,1,1.0,1.0,10.0,127.0,15.0,15101.0,,73.0,75.0
101451,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,78.3623536669201,78.3623536669201
101461,2010,1,1,,1.0,2.0,35.0,15.0,,1.0,52.96609878540039,57.8703727722168
101461,2012,1,1,,1.0,5.0,63.0,15.0,,1.0,68.63143920898438,78.125
101461,2017,1,1,1.0,1.0,10.0,126.0,15.0,15101.0,,73.0,75.0
101461,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,74.15883310636582,74.15883310636582
101481,2010,1,1,,2.0,2.0,35.0,15.0,,1.0,52.96609878540039,57.8703727722168
101481,2012,1,0,,2.0,5.0,,15.0,,1.0,68.63143920898438,
101481,2017,1,1,1.0,2.0,10.0,127.0,15.0,15101.0,,73.0,75.0
101481,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,83.04362830293185,83.04362830293185
101521,2010,1,1,,2.0,2.0,34.0,15.0,,1.0,52.96609878540039,57.8703727722168
101521,2012,1,1,,2.0,5.0,60.0,15.0,,1.0,65.68546295166016,78.125
101521,2017,1,1,1.0,2.0,10.0,128.0,15.0,15101.0,,73.0,75.0
