folio,en_2010,en_eval_2010,en_2012,en_eval_2012,en_2017,en_eval_2017,en_2024,en_eval_2024,n_rondas,patron_participacion,muestra_origen,sexo,sexo_consistente,muestra_2012,fexp_encP_2012,fexp_testP_2012,espanel_2017,fexp_hogP_2017,fexp_encP_2017,fexp_evaP_2017,fexp_encP_1217_2017,fexp_evaP_1217_2017,fexp_encP_1017_2017,fexp_evaP_1017_2017,f_exp_1024,f_exp_101224,f_exp_101724,f_exp_10121724
101761,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,67.94828033447266,77.97526550292969,1.0,80.42888641357422,80.42888641357422,93.05647277832031,80.42888641357422,88.35856628417969,70.67255401611328,76.80724334716797,81.15575775205255,95.1614347946029,89.8617272743278,110.40970878599342
101781,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,66.11632537841797,74.81822967529297,1.0,80.42888641357422,80.42888641357422,93.05647277832031,80.42888641357422,88.35856628417969,70.67255401611328,79.9533920288086,74.45830881020692,85.27011715049477,81.52995120344734,93.15808946298131
101791,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,68.63143920898438,84.59453582763672,1.0,87.32279968261719,87.32279968261719,97.76055908203125,87.32279968261719,92.8251724243164,72.89991760253906,81.23274993896484,85.9758152061957,102.02785242488456,97.34584563981667,110.30754228094987
101801,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,68.63143920898438,82.4063491821289,1.0,43.661399841308594,87.32279968261719,97.76055908203125,87.32279968261719,92.8251724243164,73.76172637939453,81.23274993896484,73.97403136982722,88.90298542222692,89.98984949276272,97.53218189936372
101811,1,1,1,1,1,1,0,0,3,1110,original_2010,2.0,1,1.0,64.87327575683594,75.98914337158203,1.0,75.37996673583984,75.37996673583984,86.54216003417969,75.37996673583984,82.17312622070312,70.67255401611328,76.80724334716797,,,,
101821,1,0,1,1,1,1,1,1,4,1111,original_2010,1.0,0,1.0,68.63143920898438,,1.0,80.92804718017578,80.92804718017578,,80.92804718017578,79.5807876586914,72.89991760253906,,84.8688187174301,88.54910140239795,84.45600352715967,94.60204246095736
101861,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,75.83673095703125,90.42633819580078,1.0,95.65027618408203,95.65027618408203,103.5206527709961,95.65027618408203,98.29447174072266,79.5831527709961,88.76426696777344,73.90979675156842,90.68990469555091,87.12277923792769,96.02251736896956
101891,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,75.83673095703125,90.42633819580078,1.0,92.88459777832031,92.88459777832031,114.52857971191406,92.88459777832031,108.74666595458984,76.25936126708984,85.46273040771484,81.05760882091266,104.54891627655476,96.49855944064608,110.21878423673961
101901,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,67.94828033447266,82.4063491821289,1.0,80.92804718017578,80.92804718017578,97.76055908203125,80.92804718017578,92.8251724243164,72.89991760253906,79.9533920288086,77.43617196838514,84.03317076194202,85.53486641380779,91.32128043979193
101911,1,1,1,1,1,1,0,0,3,1110,original_2010,1.0,1,1.0,68.63143920898438,82.4063491821289,1.0,87.32279968261719,87.32279968261719,103.5206527709961,87.32279968261719,98.29447174072266,73.76172637939453,81.23274993896484,,,,
101931,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,66.11632537841797,75.98914337158203,1.0,80.42888641357422,80.42888641357422,93.05647277832031,80.42888641357422,88.35856628417969,70.67255401611328,79.9533920288086,80.27916064475323,95.08784912700393,84.98352881269254,104.6454524643378
101941,1,0,1,1,1,1,0,0,3,1110,original_2010,1.0,1,1.0,67.94828033447266,,1.0,40.46402359008789,80.92804718017578,,80.92804718017578,78.78863525390625,72.89991760253906,,,,,
